2023-08-14 02:55:16,269 - INFO: Epoch:5/200 || Epochiter: 3/18 || Iter: 75/3600 || Loc: 0.8829 Cla: 1.6838 Landm: 5.1861 || LR: 0.00100000 || Batchtime: 0.1134 s || ETA: 0:06:39
2023-08-14 02:55:16,438 - INFO: Epoch:5/200 || Epochiter: 4/18 || Iter: 76/3600 || Loc: 1.0966 Cla: 1.3894 Landm: 4.9966 || LR: 0.00100000 || Batchtime: 0.1495 s || ETA: 0:08:46
2023-08-14 02:55:16,654 - INFO: Epoch:5/200 || Epochiter: 5/18 || Iter: 77/3600 || Loc: 0.8841 Cla: 1.2320 Landm: 4.7745 || LR: 0.00100000 || Batchtime: 0.1827 s || ETA: 0:10:43
2023-08-14 02:55:16,798 - INFO: Epoch:5/200 || Epochiter: 6/18 || Iter: 78/3600 || Loc: 1.2631 Cla: 1.6140 Landm: 5.5886 || LR: 0.00100000 || Batchtime: 0.1204 s || ETA: 0:07:04
2023-08-14 02:55:16,954 - INFO: Epoch:5/200 || Epochiter: 7/18 || Iter: 79/3600 || Loc: 0.8826 Cla: 1.2370 Landm: 4.1062 || LR: 0.00100000 || Batchtime: 0.1198 s || ETA: 0:07:02
2023-08-14 02:55:17,190 - INFO: Epoch:5/200 || Epochiter: 8/18 || Iter: 80/3600 || Loc: 0.6592 Cla: 1.2237 Landm: 3.7958 || LR: 0.00100000 || Batchtime: 0.2127 s || ETA: 0:12:28
2023-08-14 02:55:17,359 - INFO: Epoch:5/200 || Epochiter: 9/18 || Iter: 81/3600 || Loc: 0.7191 Cla: 1.3890 Landm: 4.0959 || LR: 0.00100000 || Batchtime: 0.1426 s || ETA: 0:08:22
2023-08-14 02:55:17,505 - INFO: Epoch:5/200 || Epochiter: 10/18 || Iter: 82/3600 || Loc: 0.7343 Cla: 1.4757 Landm: 2.5591 || LR: 0.00100000 || Batchtime: 0.1139 s || ETA: 0:06:40
2023-08-14 02:55:17,642 - INFO: Epoch:5/200 || Epochiter: 11/18 || Iter: 83/3600 || Loc: 0.6844 Cla: 1.3041 Landm: 3.6644 || LR: 0.00100000 || Batchtime: 0.1158 s || ETA: 0:06:47
2023-08-14 02:55:17,810 - INFO: Epoch:5/200 || Epochiter: 12/18 || Iter: 84/3600 || Loc: 0.7803 Cla: 1.3422 Landm: 4.1165 || LR: 0.00100000 || Batchtime: 0.1434 s || ETA: 0:08:24
2023-08-14 02:55:17,971 - INFO: Epoch:5/200 || Epochiter: 13/18 || Iter: 85/3600 || Loc: 0.8752 Cla: 1.4738 Landm: 4.3002 || LR: 0.00100000 || Batchtime: 0.1371 s || ETA: 0:08:02
2023-08-14 02:55:18,136 - INFO: Epoch:5/200 || Epochiter: 14/18 || Iter: 86/3600 || Loc: 0.5863 Cla: 1.2464 Landm: 2.7896 || LR: 0.00100000 || Batchtime: 0.1413 s || ETA: 0:08:16
2023-08-14 02:55:18,295 - INFO: Epoch:5/200 || Epochiter: 15/18 || Iter: 87/3600 || Loc: 0.7406 Cla: 1.4857 Landm: 3.5623 || LR: 0.00100000 || Batchtime: 0.1358 s || ETA: 0:07:57
2023-08-14 02:55:18,463 - INFO: Epoch:5/200 || Epochiter: 16/18 || Iter: 88/3600 || Loc: 0.7119 Cla: 1.1429 Landm: 3.1801 || LR: 0.00100000 || Batchtime: 0.1394 s || ETA: 0:08:09
2023-08-14 02:55:18,651 - INFO: Epoch:5/200 || Epochiter: 17/18 || Iter: 89/3600 || Loc: 0.9896 Cla: 1.6085 Landm: 4.4343 || LR: 0.00100000 || Batchtime: 0.1648 s || ETA: 0:09:38
2023-08-14 02:55:18,775 - INFO: Epoch:5/200 || Epochiter: 18/18 || Iter: 90/3600 || Loc: 1.1136 Cla: 1.6386 Landm: 5.4808 || LR: 0.00100000 || Batchtime: 0.1185 s || ETA: 0:06:55
2023-08-14 02:55:19,640 - INFO: Epoch:6/200 || Epochiter: 1/18 || Iter: 91/3600 || Loc: 0.7251 Cla: 1.6460 Landm: 3.7156 || LR: 0.00100000 || Batchtime: 0.5948 s || ETA: 0:34:47
2023-08-14 02:55:19,843 - INFO: Epoch:6/200 || Epochiter: 2/18 || Iter: 92/3600 || Loc: 0.7981 Cla: 1.3822 Landm: 3.2682 || LR: 0.00100000 || Batchtime: 0.1721 s || ETA: 0:10:04
2023-08-14 02:55:20,019 - INFO: Epoch:6/200 || Epochiter: 3/18 || Iter: 93/3600 || Loc: 0.6836 Cla: 1.3658 Landm: 3.8212 || LR: 0.00100000 || Batchtime: 0.1541 s || ETA: 0:09:00
2023-08-14 02:55:20,173 - INFO: Epoch:6/200 || Epochiter: 4/18 || Iter: 94/3600 || Loc: 0.5806 Cla: 1.2319 Landm: 3.0691 || LR: 0.00100000 || Batchtime: 0.1194 s || ETA: 0:06:58
2023-08-14 02:55:20,320 - INFO: Epoch:6/200 || Epochiter: 5/18 || Iter: 95/3600 || Loc: 0.7387 Cla: 1.1386 Landm: 3.4114 || LR: 0.00100000 || Batchtime: 0.1134 s || ETA: 0:06:37
2023-08-14 02:55:20,467 - INFO: Epoch:6/200 || Epochiter: 6/18 || Iter: 96/3600 || Loc: 0.5818 Cla: 1.2991 Landm: 2.6162 || LR: 0.00100000 || Batchtime: 0.1201 s || ETA: 0:07:00
2023-08-14 02:55:20,637 - INFO: Epoch:6/200 || Epochiter: 7/18 || Iter: 97/3600 || Loc: 0.9277 Cla: 1.3088 Landm: 4.6371 || LR: 0.00100000 || Batchtime: 0.1395 s || ETA: 0:08:08
2023-08-14 02:55:20,806 - INFO: Epoch:6/200 || Epochiter: 8/18 || Iter: 98/3600 || Loc: 0.6309 Cla: 1.3711 Landm: 3.0922 || LR: 0.00100000 || Batchtime: 0.1416 s || ETA: 0:08:15
2023-08-14 02:55:20,978 - INFO: Epoch:6/200 || Epochiter: 9/18 || Iter: 99/3600 || Loc: 0.5991 Cla: 1.1040 Landm: 2.5973 || LR: 0.00100000 || Batchtime: 0.1580 s || ETA: 0:09:13
2023-08-14 02:55:21,149 - INFO: Epoch:6/200 || Epochiter: 10/18 || Iter: 100/3600 || Loc: 0.9203 Cla: 1.1987 Landm: 4.6199 || LR: 0.00100000 || Batchtime: 0.1468 s || ETA: 0:08:33
2023-08-14 02:55:21,301 - INFO: Epoch:6/200 || Epochiter: 11/18 || Iter: 101/3600 || Loc: 1.3684 Cla: 1.5366 Landm: 6.0437 || LR: 0.00100000 || Batchtime: 0.1293 s || ETA: 0:07:32
2023-08-14 02:55:21,465 - INFO: Epoch:6/200 || Epochiter: 12/18 || Iter: 102/3600 || Loc: 0.8092 Cla: 1.3440 Landm: 4.1030 || LR: 0.00100000 || Batchtime: 0.1334 s || ETA: 0:07:46
2023-08-14 02:55:21,645 - INFO: Epoch:6/200 || Epochiter: 13/18 || Iter: 103/3600 || Loc: 0.8070 Cla: 1.1083 Landm: 4.0788 || LR: 0.00100000 || Batchtime: 0.1593 s || ETA: 0:09:17
2023-08-14 02:55:21,797 - INFO: Epoch:6/200 || Epochiter: 14/18 || Iter: 104/3600 || Loc: 0.7057 Cla: 1.1001 Landm: 2.8726 || LR: 0.00100000 || Batchtime: 0.1313 s || ETA: 0:07:39
2023-08-14 02:55:21,964 - INFO: Epoch:6/200 || Epochiter: 15/18 || Iter: 105/3600 || Loc: 0.7556 Cla: 1.3896 Landm: 3.7565 || LR: 0.00100000 || Batchtime: 0.1344 s || ETA: 0:07:49
2023-08-14 02:55:22,122 - INFO: Epoch:6/200 || Epochiter: 16/18 || Iter: 106/3600 || Loc: 0.6907 Cla: 1.0801 Landm: 3.2808 || LR: 0.00100000 || Batchtime: 0.1382 s || ETA: 0:08:02
